@timestamp,method,req_path,domain,rsp_code,rsp_code_details,src_ip,total_duration_seconds,rsp_size,country,response_flags
2026-03-16T01:02:39.887Z,GET,/Portals/0/xBlog/uploads/2024/3/19/Helium2.jpg,www.qatarenergylng.qa,200,via_upstream,171.96.136.37,,53061,TH,
2026-03-16T01:02:38.853Z,GET,/Portals/0/ThemePluginPro/uploads/2024/4/17/LNGimage61 (2).jpg,www.qatarenergylng.qa,200,via_upstream,171.96.136.37,,79679,TH,
2026-03-16T01:02:31.822Z,GET,/english/,www.qatarenergylng.qa,200,via_upstream,5.134.119.53,,110902,ES,
2026-03-16T01:02:30.588Z,GET,/english/MediaCenter/pageindex987/30/94e7b0fe-b94a-4e6a-a309-83fcecb61d7a,www.qatarenergylng.qa,200,via_upstream,51.89.129.122,,178117,GB,
2026-03-16T01:02:27.797Z,GET,/,www.qatarenergylng.qa,301,via_upstream,5.134.119.53,,1780,ES,
2026-03-16T01:01:56.346Z,GET,/Portals/0/xBlog/uploads/2024/3/19/AlMafyaratTianjinTerminal_.jpg,www.qatarenergylng.qa,200,via_upstream,156.163.96.252,,74243,EG,
2026-03-16T01:01:48.454Z,GET,/english/Media/News/Article/ArticleID/208/QATARGAS SUPPORTS THE 8TH GCC QUALITY CONFERENCE ON HUMAN DEVELOPMENT,www.qatarenergylng.qa,200,via_upstream,17.22.245.111,,42516,US,
2026-03-16T01:01:33.161Z,GET,/english/MediaCenter/pageindex987/32/Once-in-a-lifetime-experience-for-more-than-70-children-at-this-yearÃ¢Â€Â™s-AFC-Champions-League-matches-,www.qatarenergylng.qa,200,via_upstream,114.119.145.22,,177895,SG,
2026-03-16T01:01:26.624Z,GET,/english/desktopmodules/Adv.Modules.QG.News.API.Services/API/News/GetArticles,www.qatarenergylng.qa,200,via_upstream,4.170.17.149,,5123,QA,
2026-03-16T01:01:07.137Z,GET,/english/MediaCenter/pageindex987/55/Qatargas-Safety-Day-features-industry-leading-safety-achievements-and-initiatives,www.qatarenergylng.qa,200,via_upstream,85.208.96.200,,177279,US,
2026-03-16T01:00:26.877Z,GET,/,www.qatarenergylng.qa,301,via_upstream,23.106.62.14,,1781,GB,
2026-03-16T01:00:23.747Z,GET,/english/,www.qatarenergylng.qa,200,via_upstream,23.106.62.14,,111105,GB,
2026-03-16T01:00:22.923Z,GET,/,qatarenergylng.qa,301,via_upstream,23.106.62.14,,387,GB,
2026-03-16T01:00:13.641Z,GET,/english,www.qatarenergylng.qa,200,via_upstream,80.76.167.222,,111552,QA,
2026-03-16T01:00:06.310Z,GET,/english,www.qatarenergylng.qa,200,via_upstream,212.77.203.83,,111384,QA,
2026-03-16T00:59:34.669Z,GET,/_layouts/15/NewCo/Images/logo.png,www.qatarenergylng.qa,404,via_upstream,140.210.152.183,,928,CN,
2026-03-16T00:59:32.498Z,GET,/_layouts/15/NewCo/Images/logo.png,www.qatarenergylng.qa,404,via_upstream,140.210.152.183,,756,CN,
2026-03-16T00:59:32.354Z,GET,/Portals/0/xBlog/uploads/2024/3/19/AlKharsaah-1.jpg,www.qatarenergylng.qa,200,via_upstream,49.205.100.30,,63568,IN,
2026-03-16T00:59:31.644Z,GET,/_layouts/15/NewCo/Images/logo.png,www.qatarenergylng.qa,404,via_upstream,140.210.152.183,,755,CN,
2026-03-16T00:59:28.394Z,GET,/_layouts/15/NewCo/Images/logo.png,www.qatarenergylng.qa,404,via_upstream,140.210.152.183,,928,CN,
2026-03-16T00:59:25.721Z,GET,/english/,www.qatarenergylng.qa,200,via_upstream,5.134.119.46,,110943,ES,
2026-03-16T00:59:24.686Z,GET,/,www.qatarenergylng.qa,301,via_upstream,5.134.119.46,,1780,ES,
2026-03-16T00:59:24.461Z,GET,/_layouts/15/NewCo/Images/logo.png,www.qatarenergylng.qa,404,via_upstream,140.210.152.196,,755,CN,
2026-03-16T00:59:22.934Z,GET,/english/MediaCenter/pageindex987/32/QatargasÃ¢Â€Â™-Jetty-Boil-Off-Gas-Recovery-Facility-wins-Sustainability-Award,www.qatarenergylng.qa,200,via_upstream,114.119.145.22,,177709,SG,
2026-03-16T00:59:11.478Z,GET,/_layouts/15/NewCo/Images/logo.png,www.qatarenergylng.qa,404,via_upstream,140.210.152.196,,1427,CN,
2026-03-16T00:58:59.006Z,GET,/english/MediaCenter/pageindex987/63/image-gallery,www.qatarenergylng.qa,200,via_upstream,169.224.38.152,,163759,IQ,
2026-03-16T00:58:53.940Z,GET,/english/Operations/Ras-Laffan-Helium,www.qatarenergylng.qa,200,via_upstream,34.162.230.222,,42611,US,
2026-03-16T05:02:43.868Z,GET,/_layouts/15/NewCo/Images/logo.png,www.qatarenergylng.qa,404,via_upstream,147.161.160.200,,1427,AE,
2026-03-16T05:02:40.831Z,GET,/_layouts/15/NewCo/Images/logo.png,www.qatarenergylng.qa,404,via_upstream,147.161.160.200,,755,AE,
2026-03-16T05:02:38.970Z,GET,/_layouts/15/NewCo/Images/logo.png,www.qatarenergylng.qa,404,via_upstream,147.161.160.200,,755,AE,
2026-03-16T05:02:35.858Z,GET,/_layouts/15/NewCo/Images/logo.png,www.qatarenergylng.qa,404,via_upstream,147.161.160.200,,755,AE,
2026-03-16T05:02:24.756Z,GET,/english/MediaCenter/pageindex987/4/Qatargas-delivers-first-Q-Flex-LNG-cargo-to-Adriatic-terminal-in-Italy,www.qatarenergylng.qa,200,via_upstream,51.195.244.242,,177263,GB,
2026-03-16T05:02:17.783Z,GET,/_layouts/15/NewCo/Images/logo.png,www.qatarenergylng.qa,404,via_upstream,147.161.160.200,,755,AE,
2026-03-16T05:02:16.919Z,GET,/_layouts/15/NewCo/Images/logo.png,www.qatarenergylng.qa,404,via_upstream,147.161.160.200,,755,AE,
2026-03-16T05:02:12.844Z,GET,/_layouts/15/NewCo/Images/logo.png,www.qatarenergylng.qa,404,via_upstream,147.161.160.200,,755,AE,
2026-03-16T05:02:05.551Z,GET,/Portals/0/DNNGalleryPro/uploads/2024/12/4/ThePioneer166English_Spread_1.pdf,www.qatarenergylng.qa,200,via_upstream,52.255.111.10,,9304789,US,
2026-03-16T05:02:03.004Z,GET,/arabic/الصفحة-الرئيسية/pageindex638/51/videos,www.qatarenergylng.qa,200,via_upstream,198.244.226.157,,117632,GB,
